f1,f2,f3,f4,label
1.27,2.23,3.50,4.48,0
4.52,3.19,2.10,1.13,1
1.22,2.35,3.14,4.47,0
4.64,3.01,2.24,1.15,1
4.85,3.08,2.19,1.14,1
1.33,2.30,3.28,4.31,0
4.86,3.13,2.12,1.01,1
1.07,2.20,3.25,4.25,0
4.58,3.32,2.28,1.27,1
4.42,3.39,2.01,1.08,1
1.35,2.31,3.21,4.19,0
4.55,3.38,2.36,1.35,1
1.10,2.03,3.43,4.39,0
1.09,2.22,3.05,4.43,0
4.84,3.35,2.13,1.02,1
4.59,3.10,2.24,1.35,1
4.65,3.19,2.28,1.05,1
4.45,3.38,2.39,1.03,1
1.34,2.25,3.59,4.15,0
4.83,3.05,2.26,1.25,1
4.40,3.24,2.09,1.28,1
4.87,3.29,2.38,1.37,1
1.25,2.30,3.04,4.45,0
1.06,2.36,3.06,4.41,0
4.60,3.33,2.32,1.26,1
4.63,3.25,2.08,1.39,1
4.55,3.38,2.16,1.03,1
1.31,2.31,3.57,4.33,0
4.79,3.25,2.00,1.15,1
1.19,2.06,3.47,4.35,0
1.12,2.04,3.00,4.36,0
1.10,2.20,3.39,4.20,0
1.37,2.37,3.00,4.13,0
1.04,2.15,3.48,4.32,0
4.71,3.06,2.10,1.06,1
1.33,2.26,3.35,4.38,0
4.42,3.37,2.08,1.36,1
1.20,2.25,3.22,4.24,0
4.75,3.17,2.08,1.18,1
1.34,2.24,3.15,4.44,0
1.27,2.01,3.41,4.26,0
1.10,2.35,3.51,4.02,0
1.23,2.29,3.49,4.24,0
4.45,3.27,2.12,1.08,1
1.26,2.27,3.43,4.15,0
1.20,2.11,3.38,4.36,0
4.83,3.15,2.21,1.00,1
4.82,3.37,2.07,1.12,1
4.63,3.19,2.01,1.05,1
1.26,2.17,3.24,4.06,0
1.13,2.36,3.15,4.07,0
1.12,2.01,3.47,4.19,0
1.19,2.24,3.26,4.47,0
1.15,2.04,3.44,4.46,0
4.50,3.36,2.08,1.01,1
4.67,3.32,2.30,1.06,1
1.22,2.33,3.59,4.39,0
4.50,3.08,2.15,1.29,1
4.81,3.06,2.25,1.38,1
4.59,3.12,2.33,1.07,1
4.59,3.37,2.30,1.34,1
1.06,2.16,3.45,4.48,0
1.15,2.26,3.22,4.34,0
1.28,2.01,3.11,4.12,0
4.51,3.18,2.36,1.35,1
1.07,2.35,3.27,4.25,0
4.43,3.14,2.12,1.05,1
1.02,2.06,3.23,4.49,0
4.50,3.25,2.35,1.39,1
1.19,2.28,3.58,4.31,0
4.82,3.07,2.10,1.26,1
4.61,3.32,2.04,1.00,1
1.30,2.13,3.56,4.23,0
1.30,2.13,3.45,4.20,0
1.10,2.11,3.44,4.10,0
4.70,3.19,2.00,1.06,1
1.01,2.31,3.23,4.36,0
1.35,2.16,3.23,4.13,0
1.23,2.23,3.44,4.27,0
1.10,2.04,3.50,4.33,0
1.18,2.10,3.26,4.22,0
4.43,3.29,2.31,1.21,1
4.74,3.16,2.30,1.16,1
4.86,3.15,2.03,1.37,1
4.54,3.23,2.02,1.25,1
1.32,2.32,3.25,4.33,0
4.87,3.26,2.37,1.05,1
4.78,3.16,2.23,1.33,1
4.89,3.07,2.12,1.09,1
1.25,2.21,3.54,4.34,0
4.89,3.12,2.31,1.28,1
1.01,2.18,3.07,4.28,0
4.65,3.09,2.38,1.14,1
4.64,3.00,2.33,1.25,1
1.30,2.11,3.21,4.48,0
4.80,3.01,2.00,1.34,1
4.71,3.14,2.27,1.04,1
4.81,3.07,2.01,1.05,1
1.23,2.20,3.13,4.39,0
1.31,2.28,3.43,4.30,0
